Facility ID,Facility Name,Facility Type,District,Description,Has Clinic,Status,Created At,Updated At
cme99emuc00lljncd4abbeeqs,"Lallen SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emgs008tjncdrchk83nv,"Lamchhip SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emjt00cfjncdzfh8kt5r,"Lamzawl SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99em8u0009jncdccgbmyzi,"Lawipu","UPHC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emgn008ljncd3mlzn7i9,"Lawipu SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emvk00n1jncduk3xfymv,"Lawngban SC","SC_HWC","Saiha","",No,Active,"13/08/2025","13/08/2025"
cme99emz900qzjncd4v68q23h,"Lawngtlai AYUSH SC","A_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emln00edjncd61in55zt,"Lawngtlai SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emq700hnjncdtb0fog3a,"Leite SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emdr0055jncdldvq1kee,"Lenchim SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emwq00odjncd5k60xepc,"Leng SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99em9j000zjncdtjlj0tye,"Lengpui PHC","PHC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emgp008pjncd2pkfgi1h,"Lengpui SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emhk009vjncd2pc48t9b,"Lianpui SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emmi00f5jncds5wvhpka,"Longpuighat","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emb5002fjncd4v006k19,"Longpuighat PHC","PHC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emfx007pjncd72mtf08x,"Luangmual SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emq900hpjncdmq7q4e3f,"Lungchem SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emx000oljncdra3xes5j,"Lungchhuan SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emat0023jncdhxs0kj7r,"Lungdai PHC","PHC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99eml300drjncdqzo4suad,"Lungdai SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emcc003njncd67h08j94,"Lungdar E PHC","PHC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
